Point,Temperature,Humidity,WindDirection
"['강릉', '8.5', '86', '남서']"
"['강진군', '8.8', '92', '정온']"
"['강화', '8.0', '92', '북북동']"
"['거제', '13.1', '83', '동남동']"
"['거창', '8.0', '92', '정온']"
"['경주시', '10.9', '92', '북']"
"['고산', '10.6', '91', '남동']"
"['고창', '7.8', '97', '남서']"
"['고창군', '8.0', '91', '정온']"
"['고흥', '9.4', '99', '정온']"
"['광양시', '13.0', '65', '동북동']"
"['광주', '10.7', '91', '서남서']"
"['구미', '9.0', '99', '서']"
"['군산', '8.3', '98', '동남동']"
"['금산', '7.4', '97', '정온']"
"['김해시', '11.0', '87', '서']"
"['남원', '8.5', '96', '동북동']"
"['남해', '10.9', '84', '서남서']"
"['대관령', '1.1', '99', '서북서']"
"['대구', '10.5', '97', '남남동']"
"['대전', '10.2', '87', '정온']"
"['동두천', '9.6', '92', '북북서']"
"['동해', '8.7', '83', '서남서']"
"['목포', '8.7', '89', '남남동']"
"['문경', '7.4', '91', '정온']"
"['밀양', '9.5', '99', '정온']"
"['백령도', '9.4', '88', '정온']"
"['보령', '7.9', '98', '정온']"
"['보성군', '9.6', '95', '서남서']"
"['보은', '7.0', '96', '정온']"
"['봉화', '4.9', '98', '북서']"
"['부산', '11.9', '82', '동북동']"
"['부안', '8.5', '97', '동']"
"['부여', '8.1', '100', '정온']"
"['북강릉', '8.4', '83', '서남서']"
"['북창원', '11.4', '87', '남서']"
"['북춘천', '8.7', '89', '북']"
"['산청', '12.2', '71', '동북동']"
"['상주', '7.5', '91', '서북서']"
"['서귀포', '12.5', '90', '북동']"
"['서산', '7.1', '97', '남남서']"
"['서울', '11.3', '77', '동북동']"
"['성산', '9.7', '85', '북서']"
"['세종', '8.6', '91', '정온']"
"['속초', '7.3', '92', '서']"
"['수원', '9.0', '100', '동']"
"['순창군', '8.1', '93', '서']"
"['순천', '7.9', '99', '정온']"
"['안동', '7.6', '87', '정온']"
"['양산시', '9.9', '95', '남']"
"['양평', '9.6', '88', '동남동']"
"['여수', '12.9', '76', '북동']"
"['영광군', '7.5', '98', '북북동']"
"['영덕', '6.5', '99', '남']"
"['영월', '7.4', '92', '정온']"
"['영주', '6.7', '91', '북서']"
"['영천', '7.2', '98', '동북동']"
"['완도', '10.9', '94', '동']"
"['울릉도', '9.7', '75', '북동']"
"['울산', '10.3', '96', '북']"
"['울진', '6.7', '95', '서']"
"['원주', '9.6', '76', '정온']"
"['의령군', '8.8', '92', '정온']"
"['의성', '5.7', '98', '북']"
"['이천', '9.6', '93', '북동']"
"['인제', '7.2', '86', '북']"
"['인천', '9.7', '92', '남남동']"
"['임실', '7.2', '98', '정온']"
"['장수', '6.5', '100', '정온']"
"['장흥', '8.7', '95', '정온']"
"['전주', '8.3', '95', '북동']"
"['정선군', '6.0', '94', '남']"
"['정읍', '8.1', '94', '북동']"
"['제주', '11.2', '83', '남서']"
"['제천', '6.3', '94', '정온']"
"['진도군', '8.7', '95', '남남동']"
"['진주', '9.1', '93', '정온']"
"['창원', '11.0', '86', '정온']"
"['천안', '7.9', '92', '정온']"
"['철원', '8.8', '100', '정온']"
"['청송군', '5.1', '99', '동']"
"['청주', '11.4', '73', '정온']"
"['추풍령', '6.1', '87', '정온']"
"['춘천', '9.9', '84', '서북서']"
"['충주', '9.3', '85', '동']"
"['태백', '3.8', '99', '북북서']"
"['통영', '11.8', '84', '북북동']"
"['파주', '8.3', '97', '동북동']"
"['포항', '10.6', '87', '북서']"
"['함양군', '7.8', '95', '정온']"
"['합천', '9.0', '96', '정온']"
"['해남', '6.4', '99', '정온']"
"['홍성', '7.0', '99', '정온']"
"['홍천', '9.4', '79', '북동']"
"['흑산도', '8.4', '99', '동']"
